id	object_type	command
compACYLCOA_c	rxn	reaction:0.188970 pmtcoa_c + 0.554586 hdcoa_c + 0.052965 stcoa_c + 0.203479 odecoa_c --> acylcoa_c
compACYLCOA_l	rxn	reaction:0.188970 pmtcoa_l + 0.554586 hdcoa_l + 0.052965 stcoa_l + 0.203479 odecoa_l --> acylcoa_l
compACYLCOA_m	rxn	reaction:0.188970 pmtcoa_m + 0.554586 hdcoa_m + 0.052965 stcoa_m + 0.203479 odecoa_m --> acylcoa_m
compACYLCOA_r	rxn	reaction:0.188970 pmtcoa_r + 0.554586 hdcoa_r + 0.052965 stcoa_r + 0.203479 odecoa_r --> acylcoa_r
compACYLCOA_rm	rxn	reaction:0.188970 pmtcoa_rm + 0.554586 hdcoa_rm + 0.052965 stcoa_rm + 0.203479 odecoa_rm --> acylcoa_rm
compACYLCOA_x	rxn	reaction:0.188970 pmtcoa_x + 0.554586 hdcoa_x + 0.052965 stcoa_x + 0.203479 odecoa_x --> acylcoa_x
compFALPD_mm	rxn	reaction:0.188970 hdca_mm + 0.554586 hdcea_mm + 0.052965 ocdca_mm + 0.203479 ocdcea_mm <=> falpd_mm
compFALPD_l	rxn	reaction:0.188970 hdca_l + 0.554586 hdcea_l + 0.052965 ocdca_l + 0.203479 ocdcea_l <=> falpd_l
compFALPD_m	rxn	reaction:0.188970 hdca_m + 0.554586 hdcea_m + 0.052965 ocdca_m + 0.203479 ocdcea_m <=> falpd_m
compFALPD_rm	rxn	reaction:0.188970 hdca_rm + 0.554586 hdcea_rm + 0.052965 ocdca_rm + 0.203479 ocdcea_rm <=> falpd_rm
compFALPD_en	rxn	reaction:0.188970 hdca_en + 0.554586 hdcea_en + 0.052965 ocdca_en + 0.203479 ocdcea_en <=> falpd_en
biomass_dilution	rxn	remove
biomPROTEIN	rxn	remove
biomCARB	rxn	remove
biomRNA	rxn	remove
biomDNA	rxn	remove
biomCOFACTOR	rxn	remove
biomION	rxn	remove
biomLIPID	rxn	remove
Biomass_Eqn_y8	rxn	remove
BIOMASS_SC_hvd	rxn	create
BIOMASS_SC_hvd	rxn	name:Biomass reaction, rebuilt by hvd, in yeast8.3.4
BIOMASS_SC_hvd	rxn	reaction:0.370407 alatrna_c + 0.146343 argtrna_c + 0.175915 asntrna_c + 0.175915 asptrna_c + 0.005308 cystrna_c + 0.293444 glntrna_c + 0.293444 glutrna_c + 0.337044 glytrna_c + 0.073171 histrna_c + 0.223306 iletrna_c + 0.30368 leutrna_c + 0.249086 lystrna_c + 0.04322 mettrna_c + 0.142552 phetrna_c + 0.159991 protrna_c + 0.202075 sertrna_c + 0.211174 thrtrna_c + 0.024643 trptrna_c + 0.074309 tyrtrna_c + 0.2779 valtrna_c + 0.624134 mannan_c + 0.968523 13BDglucan_en + 0.254874 16BDglucan_en + 0.022898 chtn_c + 0.466263 glycogen_c + 0.023372 tre_c + 0.006155 ergst161_rm + 0.002258 ergst181_rm + 0.03286 ergst_c + 0.000346 hdca_c + 0.001015 hdcea_c + 9.6e-05 ocdca_c + 0.000372 ocdcea_c + 0.008542 pail_c + 0.031871 pc_c + 0.008565 pe_c + 0.007356 ps_c + 0.008476 tag_c + 0.004754 ipc_g + 0.040823 ctp_c + 0.042011 gtp_c + 0.054705 utp_c + 0.00389 datp_c + 0.002626 dctp_c + 0.002626 dgtp_c + 0.00389 dttp_c + 0.001286 ca2_c + 0.000114 cu2_c + 0.000664 fe2_c + 0.60365 k_c + 0.063607 mg2_c + 9.4e-05 mn2_c + 0.001576 zn2_c + 0.00019 coa_c + 1e-05 fad_c + 1e-06 hemeA_c + 0.00265 nad_c + 0.00015 nadh_c + 0.00057 nadp_c + 0.0027 nadph_c + 0.00099 ribflv_c + 6.3e-05 thf_c + 1e-06 thmpp_c + 0.031223 so4_c + 106.683192 h2o_c + 106.725203 atp_c --> 106.683192 adp_c + 106.683192 h_c + 106.577537 pi_c + 0.192581 ppi_c + 0.370407 trnaala_c + 0.146343 trnaarg_c + 0.175915 trnaasn_c + 0.175915 trnaasp_c + 0.005308 trnacys_c + 0.293444 trnagln_c + 0.293444 trnaglu_c + 0.337044 trnagly_c + 0.073171 trnahis_c + 0.223306 trnaile_c + 0.30368 trnaleu_c + 0.249086 trnalys_c + 0.04322 trnamet_c + 0.142552 trnaphe_c + 0.159991 trnapro_c + 0.202075 trnaser_c + 0.211174 trnathr_c + 0.024643 trnatrp_c + 0.074309 trnatyr_c + 0.2779 trnaval_c
BIOMASS_SC_hvd	rxn	subsystem:Pseudoreaction
BIOMASS_SC_hvd	rxn	lower_bound:0
BIOMASS_SC_hvd	rxn	upper_bound:1000
ATPM_c	rxn	lower_bound:0.800671
ATPM_c	rxn	upper_bound:1000
biomass_c	met	remove
lipid_c	met	remove
protein_c	met	remove
carb_c	met	remove
rna_c	met	remove
dna_c	met	remove
cofactor_c	met	remove
ion_c	met	remove
r_4592	rxn	id:MG2tps_c_e
MG2tps_c_e	rxn	subsystem:Transport
r_4327	rxn	id:MG2t_c_m
MG2t_c_m	rxn	subsystem:Transport
r_4597	rxn	id:EX_mg2_e
EX_mg2_e	rxn	subsystem:Exchange
r_4590	rxn	id:MN2tps_c_e
MN2tps_c_e	rxn	subsystem:Transport
r_4181	rxn	id:MN2tabc_c_r
MN2tabc_c_r	rxn	subsystem:Transport
r_4595	rxn	id:EX_mn2_e
EX_mn2_e	rxn	subsystem:Exchange
r_4194	rxn	id:ZN2t_c_r
ZN2t_c_r	rxn	subsystem:Transport
r_4591	rxn	id:ZN2tps_c_e
ZN2tps_c_e	rxn	subsystem:Transport
r_4596	rxn	id:EX_zn2_e
EX_zn2_e	rxn	subsystem:Exchange
r_4224	rxn	id:NA1tabc_c_e
NA1tabc_c_e	rxn	subsystem:Transport
r_4167	rxn	id:NA1CLKt_c_v
NA1CLKt_c_v	rxn	subsystem:Transport
r_4587	rxn	id:CA2tps_c_e
CA2tps_c_e	rxn	subsystem:Transport
r_4589	rxn	id:CUtps_c_e
CUtps_c_e	rxn	subsystem:Transport
r_4594	rxn	id:EX_cu2_e
EX_cu2_e	rxn	subsystem:Exchange
r_4600	rxn	id:EX_ca2_e
EX_ca2_e	rxn	subsystem:Exchange
r_4236	rxn	remove
r_4262	rxn	remove
r_4264	rxn	remove
r_4274	rxn	remove
r_4484	rxn	remove
r_4332	rxn	id:CHOLt_c_e
CHOLt_c_e	rxn	subsystem:Transport
FRD_c	rxn	name:fumarate reductase (FADH2)
FRD_c	rxn	reaction:fum_c + fadh2_c + h_m --> succ_c + fad_c
FRD_c	rxn	gpr:YEL047C
FRD_c	rxn	subsystem:Citric acid cycle
FRD_c	rxn	lower_bound:0
FRD_c	rxn	upper_bound:1000
FRD_c	rxn	notes:notes-found to be active for anaerobic recovery of FADH2
FRD_c	rxn	notes:pmid-30451826,17345583
YEL047C	gene	name:FRD1
FRD_m	rxn	name:fumarate reductase (FADH2)
